"GEO_ID","NAME","YEAR","zip_code","vets_popcount","nonvets_pop_count","total_labor_force_percent","vets_labor_force_percent","nonvets_labor_force_percent","total_labor_force_count","vets_labor_force_count","nonvets_labor_force_count","total_unemp_rate_percent","vets_unemp_rate_percent","nonvets_unemp_rate_percent","total_pov_count","total_pov_percent","vets_pov_count","vets_pov_percent","nonvets_pov_count","nonvets_pov_percent","total_dis_count","total_dis_percent","vet_dis_count","vet_dis_percent","nonvet_dis_count","nonvet_dis_percent","drop_zip"
"8600000US14539","ZCTA5 14539","2019","14539",0,0,77.3,0,77.3,34,0,34,0,0,0,5,7,0,0,5,7,25,35.2,0,0,25,35.2,TRUE
"8600000US14542","ZCTA5 14542","2019","14542",0,0,100,0,100,21,0,21,0,0,0,0,0,0,0,0,0,10,18.2,0,0,10,18.2,TRUE
"8600000US14778","ZCTA5 14778","2019","14778",0,0,32,0,32,427,0,427,6.1,0,6.1,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
"8600000US14788","ZCTA5 14788","2019","14788",0,0,69.2,0,69.2,27,0,27,0,0,0,9,23.1,0,0,9,23.1,13,33.3,0,0,13,33.3,TRUE
"8600000US14853","ZCTA5 14853","2019","14853",0,0,35.1,0,35.1,925,0,925,8.6,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
"8600000US14854","ZCTA5 14854","2019","14854",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
"8600000US14893","ZCTA5 14893","2019","14893",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
"860Z200US10006","ZCTA5 10006","2024","10006",0,0,78.3,0,78.3,2871,0,2871,0.9,0,0.9,599,15.7,0,0,599,15.7,67,1.8,0,0,67,1.8,TRUE
"860Z200US10020","ZCTA5 10020","2024","10020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
"860Z200US10103","ZCTA5 10103","2024","10103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
"860Z200US10110","ZCTA5 10110","2024","10110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
"860Z200US10111","ZCTA5 10111","2024","10111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
"860Z200US10112","ZCTA5 10112","2024","10112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
"860Z200US10115","ZCTA5 10115","2024","10115",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
