"GEO_ID","NAME","YEAR","zip_code","vets_popcount","nonvets_pop_count","total_labor_force_percent","vets_labor_force_percent","nonvets_labor_force_percent","total_labor_force_count","vets_labor_force_count","nonvets_labor_force_count","total_unemp_rate_percent","vets_unemp_rate_percent","nonvets_unemp_rate_percent","total_pov_count","total_pov_percent","vets_pov_count","vets_pov_percent","nonvets_pov_count","nonvets_pov_percent","total_dis_count","total_dis_percent","vet_dis_count","vet_dis_percent","nonvet_dis_count","nonvet_dis_percent","drop_zip","zero_flag"
"860Z200US10803","ZCTA5 10803","2024","10803",0,151,84.6,100,84.5,6076,43,6033,5.7,16.3,5.7,289,3.2,2,1.3,287,3.2,684,7.6,17,11.3,667,7.5,FALSE,0
"860Z200US10804","ZCTA5 10804","2024","10804",0,169,80.4,0,80.4,6782,0,6782,2.7,0,2.7,418,3.5,0,0,418,3.6,1014,8.5,38,22.5,976,8.3,FALSE,0
"860Z200US10805","ZCTA5 10805","2024","10805",0,775,82.3,93.3,81.9,10527,404,10123,8.3,0,8.7,1318,7.7,33,4.6,1285,7.9,2628,15.4,99,13.8,2529,15.5,FALSE,0
"860Z200US10901","ZCTA5 10901","2024","10901",0,327,78.9,73.3,78.9,11413,63,11350,4.1,0,4.1,1793,9.5,5,1.5,1788,9.6,2799,14.8,98,30,2701,14.5,FALSE,0
"860Z200US10913","ZCTA5 10913","2024","10913",0,253,71.3,83,71.1,2491,44,2447,7.5,0,7.7,388,10.2,40,15.8,348,9.8,305,8,55,21.7,250,7,FALSE,0
"860Z200US10914","ZCTA5 10914","2024","10914",0,35,70.4,0,73.7,562,0,562,6,0,6,0,0,0,0,0,0,147,16.5,35,100,112,13.1,FALSE,0
"860Z200US10916","ZCTA5 10916","2024","10916",0,185,72.7,83.3,72.3,1935,80,1855,3.5,0,3.7,51,1.6,0,0,51,1.7,475,14.8,64,35.4,411,13.6,FALSE,0
"860Z200US10917","ZCTA5 10917","2024","10917",0,45,75.8,0,75.8,777,0,777,13.1,0,13.1,146,10.7,45,100,101,7.7,229,16.8,45,100,184,14,FALSE,0
"860Z200US10918","ZCTA5 10918","2024","10918",0,554,76.2,98,75,5751,386,5365,3.9,0,4.2,1005,10.8,21,3.8,984,11.3,571,6.2,25,4.5,546,6.3,FALSE,0
"860Z200US10919","ZCTA5 10919","2024","10919",0,0,94.3,0,94.3,1069,0,1069,0,0,0,22,1.7,0,0,22,1.7,147,11.2,0,0,147,11.2,FALSE,1
"860Z200US10920","ZCTA5 10920","2024","10920",0,184,79.4,76.7,79.4,3918,46,3872,4.2,73.9,3.3,268,4.2,14,7.6,254,4.1,696,10.9,52,28.3,644,10.4,FALSE,0
"860Z200US10921","ZCTA5 10921","2024","10921",0,129,79.2,82.8,79.1,2086,53,2033,2.2,0,2.2,184,5.6,12,9.3,172,5.5,469,14.3,45,34.9,424,13.5,FALSE,0
